Sat Mar 24 12:39:23 2018    /home/nicky/pos/restats_2

         246937820 function calls (246147762 primitive calls) in 510.971 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 core.py:7204(getdoc)
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       10    0.000    0.000    0.000    0.000 _utils.py:135(_supports_unicode)
       10    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.000    0.000 _tqdm.py:223(status_printer)
       10    0.000    0.000    0.000    0.000 _tqdm.py:464(<genexpr>)
        1    0.000    0.000    0.000    0.000 network.py:1(<module>)
       43    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       11    0.000    0.000    0.000    0.000 threading.py:299(_is_owned)
        8    0.000    0.000    0.000    0.000 {all}
       50    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:435(_construct_char_code_lookup)
       10    0.000    0.000    0.000    0.000 _utils.py:121(_is_utf)
        1    0.000    0.000    0.000    0.000 util.py:161(register_after_fork)
       10    0.000    0.000    0.000    0.000 _weakrefset.py:67(__len__)
        6    0.000    0.000    0.000    0.000 core.py:1052(__init__)
       26    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {dir}
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
       10    0.000    0.000    0.000    0.000 threading.py:1152(currentThread)
       30    0.000    0.000    0.000    0.000 arrayprint.py:661(__init__)
        1    0.000    0.000    0.001    0.001 warnings.py:36(formatwarning)
        2    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        1    0.000    0.000    0.000    0.000 _iotools.py:466(StringConverter)
        1    0.000    0.000    0.000    0.000 {posix.uname}
       10    0.000    0.000    0.000    0.000 _tqdm.py:122(exit)
        4    0.000    0.000    0.000    0.000 sre_parse.py:216(isname)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
       10    0.000    0.000    0.000    0.000 threading.py:1024(daemon)
       15    0.000    0.000    0.000    0.000 {hasattr}
        2    0.000    0.000    0.000    0.000 utils.py:108(__call__)
       21    0.000    0.000    0.000    0.000 {sys._getframe}
       15    0.000    0.000    0.000    0.000 sre_compile.py:51(fixup)
        2    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
       20    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 defmatrix.py:206(matrix)
        8    0.000    0.000    0.000    0.000 collections.py:355(<genexpr>)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:640(Thread)
       14    0.000    0.000    0.000    0.000 numerictypes.py:184(english_capitalize)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
       17    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7199(__init__)
        1    0.000    0.000    0.000    0.000 polytemplate.py:11(<module>)
       10    0.000    0.000    0.000    0.000 {_functools.reduce}
        1    0.000    0.000    0.000    0.000 numbers.py:295(Integral)
       10    0.000    0.000    0.000    0.000 threading.py:293(_release_save)
