Sat Mar 24 12:11:34 2018    /home/nicky/pos/restats

         487005348 function calls (486224466 primitive calls) in 1022.844 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.000    0.000    0.007    0.000 arrayprint.py:533(__init__)
       63    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 shutil.py:5(<module>)
       30    0.000    0.000    0.001    0.000 fromnumeric.py:1762(any)
       10    0.000    0.000    0.000    0.000 threading.py:709(_set_daemon)
       10    0.000    0.000    0.021    0.002 arrayprint.py:343(array2string)
        5    0.000    0.000    0.000    0.000 sre_compile.py:258(_mk_bitmap)
      191    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
       19    0.000    0.000    0.000    0.000 nosetester.py:140(__init__)
        1    0.000    0.000    0.001    0.001 numerictypes.py:304(_add_aliases)
       30    0.000    0.000    0.001    0.000 {method 'any' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.004    0.000 _tqdm.py:105(__init__)
       23    0.000    0.000    0.001    0.000 core.py:5997(getdoc)
       38    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.053    0.053 platform.py:1023(_syscmd_uname)
       10    0.000    0.000    0.002    0.000 threading.py:308(wait)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.001    0.001 linecache.py:68(updatecache)
       10    0.000    0.000    0.000    0.000 _tqdm.py:460(_get_free_pos)
       40    0.000    0.000    0.001    0.000 _inspect.py:120(getargspec)
       26    0.000    0.000    0.000    0.000 numerictypes.py:232(bitname)
       34    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
       10    0.000    0.000    0.003    0.000 threading.py:726(start)
       44    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
       10    0.000    0.000    0.000    0.000 threading.py:627(_newname)
       29    0.000    0.000    0.009    0.000 sre_compile.py:478(_code)
       30    0.000    0.000    0.000    0.000 _methods.py:31(_any)
       20    0.000    0.000    0.000    0.000 posixpath.py:127(dirname)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:1400(WarningManager)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
       58    0.000    0.000    0.000    0.000 sre_compile.py:472(isstring)
       10    0.000    0.000    0.004    0.000 arrayprint.py:700(__init__)
       27    0.000    0.000    0.000    0.000 core.py:822(__init__)
   109/95    0.000    0.000    0.001    0.000 {issubclass}
       10    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
        2    0.000    0.000    0.001    0.000 utils.py:1(<module>)
       20    0.000    0.000    0.009    0.000 _tqdm.py:1117(fp_write)
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
       34    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
      117    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      117    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
       10    0.000    0.000    0.001    0.000 collections.py:438(__init__)
       50    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
       72    0.000    0.000    0.000    0.000 numerictypes.py:130(english_lower)
      147    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
       30    0.000    0.000    0.000    0.000 numeric.py:462(asanyarray)
        1    0.000    0.000    0.000    0.000 _datasource.py:499(Repository)
       36    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
      136    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        4    0.000    0.000    0.002    0.001 warnings.py:45(filterwarnings)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       10    0.000    0.000    0.000    0.000 fromnumeric.py:1281(ravel)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
       10    0.000    0.000    0.002    0.000 threading.py:602(wait)
       27    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
        2    0.000    0.000    0.000    0.000 {posix.stat}
       99    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
       43    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
       29    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:787(_construct_lookups)
       22    0.000    0.000    0.000    0.000 threading.py:241(Condition)
       20    0.000    0.000    0.000    0.000 {numpy.core.multiarray.zeros}
        1    0.000    0.000    0.000    0.000 numerictypes.py:288(_add_types)
       54    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       29    0.000    0.000    0.000    0.000 {_sre.compile}
       30    0.000    0.000    0.023    0.001 re.py:188(compile)
       37    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
      112    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        5    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
       43    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
       11    0.000    0.000    0.000    0.000 threading.py:560(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2572(MaskedArray)
       12    0.000    0.000    0.001    0.000 abc.py:105(register)
       98    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
       10    0.000    0.000    0.000    0.000 arrayprint.py:716(__init__)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
       10    0.000    0.000    0.000    0.000 {method 'encode' of 'unicode' objects}
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       10    0.000    0.000    0.021    0.002 numeric.py:1581(array_str)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
       18    0.000    0.000    0.000    0.000 core.py:902(__init__)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
       10    0.000    0.000    0.000    0.000 numeric.py:392(asarray)
        1    0.000    0.000    0.054    0.054 platform.py:1189(uname)
       46    0.000    0.000    0.000    0.000 collections.py:329(<genexpr>)
        2    0.000    0.000    0.000    0.000 posixpath.py:336(normpath)
       10    0.000    0.000    0.000    0.000 _weakrefset.py:108(remove)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       10    0.000    0.000    0.000    0.000 arrayprint.py:689(__init__)
       34    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       30    0.000    0.000    0.000    0.000 numerictypes.py:450(_add_array_type)
       20    0.000    0.000    0.000    0.000 _tqdm.py:920(__hash__)
        1    0.000    0.000    0.014    0.014 platform.py:10(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       45    0.000    0.000    0.000    0.000 threading.py:58(__init__)
       40    0.000    0.000    0.000    0.000 numerictypes.py:157(english_upper)
       34    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 numerictypes.py:345(_add_integer_aliases)
       11    0.000    0.000    0.000    0.000 threading.py:541(Event)
        1    0.000    0.000    0.000    0.000 numerictypes.py:458(_set_array_types)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 case.py:133(TestCase)
       29    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
       34    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
       21    0.000    0.000    0.000    0.000 numerictypes.py:219(_evalname)
       23    0.000    0.000    0.001    0.000 core.py:5992(__init__)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:311(prep_simple)
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       45    0.000    0.000    0.000    0.000 {repr}
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
       10    0.000    0.000    0.000    0.000 _tqdm.py:464(<genexpr>)
        6    0.000    0.000    0.005    0.001 string.py:148(substitute)
       50    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
       73    0.000    0.000    0.000    0.000 {globals}
        8    0.000    0.000    0.000    0.000 {all}
        1    0.000    0.000    0.000    0.000 _tqdm_gui.py:9(<module>)
       11    0.000    0.000    0.000    0.000 threading.py:299(_is_owned)
       31    0.000    0.000    0.000    0.000 _inspect.py:39(iscode)
       10    0.000    0.000    0.000    0.000 _utils.py:121(_is_utf)
       10    0.000    0.000    0.000    0.000 _tqdm.py:223(status_printer)
        1    0.000    0.000    0.000    0.000 numerictypes.py:435(_construct_char_code_lookup)
       10    0.000    0.000    0.000    0.000 _utils.py:135(_supports_unicode)
        1    0.000    0.000    0.000    0.000 weakref.py:98(__setitem__)
       43    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       30    0.000    0.000    0.000    0.000 arrayprint.py:661(__init__)
       10    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.000    0.000 core.py:1052(__init__)
       10    0.000    0.000    0.000    0.000 threading.py:1152(currentThread)
        8    0.000    0.000    0.000    0.000 core.py:7204(getdoc)
        1    0.000    0.000    0.000    0.000 {any}
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
       37    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
        1    0.000    0.000    0.000    0.000 network.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        2    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        1    0.000    0.000    0.000    0.000 polytemplate.py:11(<module>)
        1    0.000    0.000    0.000    0.000 util.py:161(register_after_fork)
        1    0.000    0.000    0.000    0.000 pickle.py:827(Unpickler)
       26    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       10    0.000    0.000    0.000    0.000 _weakrefset.py:67(__len__)
        1    0.000    0.000    0.000    0.000 {dir}
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
        4    0.000    0.000    0.000    0.000 sre_parse.py:216(isname)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:108(__call__)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
